chapter_id,title,order_index,created_at,updated_at
37821e06-ebd2-4dcc-933b-6dc47381a14b,DREAM 90 LWS,5,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
37821e06-ebd2-4dcc-933b-6dc47381a14b,"DREAM 90 MCQ'S, A&R, OBJECTIVES",6,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
37821e06-ebd2-4dcc-933b-6dc47381a14b,PYQ - OBJECTIVE & SUBJECTIVE,7,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
37821e06-ebd2-4dcc-933b-6dc47381a14b,DREAM 90 - SA - 20 MKS,8,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
37821e06-ebd2-4dcc-933b-6dc47381a14b,RECTIFY MISTAKES & FINAL REVISION,9,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
232bc240-5add-4540-8178-5722166f1edf,textbook theory reading,1,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
232bc240-5add-4540-8178-5722166f1edf,Revise activities,2,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
232bc240-5add-4540-8178-5722166f1edf,revise textbook markings,3,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
232bc240-5add-4540-8178-5722166f1edf,TEXTBOOK QUESTIONS,4,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
232bc240-5add-4540-8178-5722166f1edf,DREAM 90 LWS,5,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
232bc240-5add-4540-8178-5722166f1edf,"DREAM 90 MCQ'S, A&R, OBJECTIVES",6,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
232bc240-5add-4540-8178-5722166f1edf,PYQ - OBJECTIVE & SUBJECTIVE,7,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
232bc240-5add-4540-8178-5722166f1edf,DREAM 90 - SA - 20 MKS,8,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
232bc240-5add-4540-8178-5722166f1edf,RECTIFY MISTAKES & FINAL REVISION,9,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
3c150140-2330-4fc1-b368-2e61ec9186ab,textbook theory reading,1,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
3c150140-2330-4fc1-b368-2e61ec9186ab,revision (shortcut notes),2,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
3c150140-2330-4fc1-b368-2e61ec9186ab,DIAGRAM PRACTICE,3,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
3c150140-2330-4fc1-b368-2e61ec9186ab,TEXTBOOK QUESTIONS,4,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
3c150140-2330-4fc1-b368-2e61ec9186ab,DREAM 90 LWS,5,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
3c150140-2330-4fc1-b368-2e61ec9186ab,"DREAM 90 MCQ'S, A&R, OBJECTIVES",6,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
3c150140-2330-4fc1-b368-2e61ec9186ab,PYQ - OBJECTIVE & SUBJECTIVE,7,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
3c150140-2330-4fc1-b368-2e61ec9186ab,DREAM 90 - SA - 20 MKS,8,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
3c150140-2330-4fc1-b368-2e61ec9186ab,RECTIFY MISTAKES & FINAL REVISION,9,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
6ceb2cf7-8e23-4b6c-8aec-66dbb634f4c8,textbook theory reading,1,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
6ceb2cf7-8e23-4b6c-8aec-66dbb634f4c8,REVISE CLASS NOTES,2,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
6ceb2cf7-8e23-4b6c-8aec-66dbb634f4c8,DIAGRAM PRACTICE,3,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
6ceb2cf7-8e23-4b6c-8aec-66dbb634f4c8,TEXTBOOK QUESTIONS,4,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
6ceb2cf7-8e23-4b6c-8aec-66dbb634f4c8,DREAM 90 LWS,5,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
6ceb2cf7-8e23-4b6c-8aec-66dbb634f4c8,"DREAM 90 MCQ'S, A&R, OBJECTIVES",6,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
6ceb2cf7-8e23-4b6c-8aec-66dbb634f4c8,PYQ - OBJECTIVE & SUBJECTIVE,7,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
6ceb2cf7-8e23-4b6c-8aec-66dbb634f4c8,DREAM 90 - SA - 20 MKS,8,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
6ceb2cf7-8e23-4b6c-8aec-66dbb634f4c8,RECTIFY MISTAKES & FINAL REVISION,9,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
93a9ebf0-acee-42bf-b956-6bc29dbbf6fc,textbook theory reading,1,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
93a9ebf0-acee-42bf-b956-6bc29dbbf6fc,Textbook markings,2,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
93a9ebf0-acee-42bf-b956-6bc29dbbf6fc,DIAGRAM PRACTICE,3,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
93a9ebf0-acee-42bf-b956-6bc29dbbf6fc,TEXTBOOK QUESTIONS,4,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
93a9ebf0-acee-42bf-b956-6bc29dbbf6fc,DREAM 90 LWS,5,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
93a9ebf0-acee-42bf-b956-6bc29dbbf6fc,"DREAM 90 MCQ'S, A&R, OBJECTIVES",6,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
93a9ebf0-acee-42bf-b956-6bc29dbbf6fc,PYQ - OBJECTIVE & SUBJECTIVE,7,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
93a9ebf0-acee-42bf-b956-6bc29dbbf6fc,DREAM 90 - SA - 20 MKS,8,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
93a9ebf0-acee-42bf-b956-6bc29dbbf6fc,RECTIFY MISTAKES & FINAL REVISION,9,2026-05-06T18:01:03.536117,2026-05-06T18:01:03.536117
