subject_id,title,order_index,created_at,updated_at
764f478b-d69e-463a-bfce-250c1ea8861c,1: THE UNION PARLIAMENT,1,2026-05-06T19:38:12.856238Z,2026-05-06T19:38:12.856238Z
764f478b-d69e-463a-bfce-250c1ea8861c,2: THE PRESIDENT AND VICE PRESIDENT,2,2026-05-06T19:38:12.856238Z,2026-05-06T19:38:12.856238Z
764f478b-d69e-463a-bfce-250c1ea8861c,3: PRIME MINISTER AND COUNCIL OF MINISTERS,3,2026-05-06T19:38:12.856238Z,2026-05-06T19:38:12.856238Z
764f478b-d69e-463a-bfce-250c1ea8861c,4: THE SUPREME COURT,4,2026-05-06T19:38:12.856238Z,2026-05-06T19:38:12.856238Z
764f478b-d69e-463a-bfce-250c1ea8861c,5: THE HIGH COURTS AND SUBORDINATE COURTS,5,2026-05-06T19:38:12.856238Z,2026-05-06T19:38:12.856238Z
