Subject,Chapter_Number,Chapter_Name,Tasks,Batch
HISTORY,1,"THE FIRST WAR IF INDEPENDENCE,1857",TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
HISTORY,2,GROWTH OF NATIONALISM,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
HISTORY,3,FIRST PHASE OF THE INDIAN NATIONAL MOVEMENT,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
HISTORY,4,SECOND PHASE OF THE INDIAN NATIONAL MOVEMENT,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
HISTORY,5,THE MUSLIM LEAGUE,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
HISTORY,6,MAHATMA GANDHI,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
HISTORY,7,QUIT INDIA MOVEMENT,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
HISTORY,8,FORWARD BLOC AND THE INA,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
HISTORY,9,INDEPENDENCE AND PARTITION OF INDIA,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
HISTORY,10,THE FIRST WORLD WAR,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
HISTORY,11,RISE OF DICTATORSHIP,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
HISTORY,12,THE SECOND WORLD WAR,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
HISTORY,13,UNITED NATIONS,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
HISTORY,14,MAJOR AGENCIES OF THE UNITED NATIONS,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
HISTORY,15,NON-ALIGNED MOVEMENT,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
CIVICS,1,THE UNION PARLIAMENT,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
CIVICS,2,THE PRESIDENT AND VICE PRESIDENT,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
CIVICS,3,PRIME MINISTER AND COUNCIL OF MINISTERS,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
CIVICS,4,THE SUPREME COURT,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
CIVICS,5,THE HIGH COURTS AND SUBORDINATE COURTS,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 MCQ|DREAM 90 2 MARK QUESTION|DREAM 90 SOLVE 10 MARK BRIEF QUESTION|DREAK 90 LW|DREAM 90 TEST PAPER,ICSE 10
GEOGRAPHY,1,INTERPRETATION OF TOPOGRAPHICAL MAPS,ONLY PRACTISE|ONLY PRACTISE|ONLY PRACTISE|ONLY PRACTISE|ONLY PRACTISE|ONLY PRACTISE|ONLY PRACTISE,ICSE 10
GEOGRAPHY,2,MAP OF INDIA,ONLY PRACTISE|ONLY PRACTISE|ONLY PRACTISE|ONLY PRACTISE|ONLY PRACTISE|ONLY PRACTISE|ONLY PRACTISE,ICSE 10
GEOGRAPHY,3,CLIMATE,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 GIVE REAOSNS + MCQ|DREAM 90 ALL REMAINING QUESTIONS|DREAK 90 LW|DREAM 90 TEST PAPER|PY QUESTIONS,ICSE 10
GEOGRAPHY,4,SOIL RESOURCES,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 GIVE REAOSNS + MCQ|DREAM 90 ALL REMAINING QUESTIONS|DREAK 90 LW|DREAM 90 TEST PAPER|PY QUESTIONS,ICSE 10
GEOGRAPHY,5,NATURAL VEGETATION,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 GIVE REAOSNS + MCQ|DREAM 90 ALL REMAINING QUESTIONS|DREAK 90 LW|DREAM 90 TEST PAPER|PY QUESTIONS,ICSE 10
GEOGRAPHY,6,WATER RESOURCES,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 GIVE REAOSNS + MCQ|DREAM 90 ALL REMAINING QUESTIONS|DREAK 90 LW|DREAM 90 TEST PAPER|PY QUESTIONS,ICSE 10
GEOGRAPHY,7,MINERAL RESOURCES,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 GIVE REAOSNS + MCQ|DREAM 90 ALL REMAINING QUESTIONS|DREAK 90 LW|DREAM 90 TEST PAPER|PY QUESTIONS,ICSE 10
GEOGRAPHY,8,CONVENTIONAL SOURCES OF ENERGY,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 GIVE REAOSNS + MCQ|DREAM 90 ALL REMAINING QUESTIONS|DREAK 90 LW|DREAM 90 TEST PAPER|PY QUESTIONS,ICSE 10
GEOGRAPHY,9,NON-CONVENTIONAL SOURCES OF ENERGY,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 GIVE REAOSNS + MCQ|DREAM 90 ALL REMAINING QUESTIONS|DREAK 90 LW|DREAM 90 TEST PAPER|PY QUESTIONS,ICSE 10
GEOGRAPHY,10,AGRICULTURE-I,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 GIVE REAOSNS + MCQ|DREAM 90 ALL REMAINING QUESTIONS|DREAK 90 LW|DREAM 90 TEST PAPER|PY QUESTIONS,ICSE 10
GEOGRAPHY,11,AGRICULTURE-II : FOOD CROPS,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 GIVE REAOSNS + MCQ|DREAM 90 ALL REMAINING QUESTIONS|DREAK 90 LW|DREAM 90 TEST PAPER|PY QUESTIONS,ICSE 10
GEOGRAPHY,12,AGRICULTURE-III : CASH CROPS (1),TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 GIVE REAOSNS + MCQ|DREAM 90 ALL REMAINING QUESTIONS|DREAK 90 LW|DREAM 90 TEST PAPER|PY QUESTIONS,ICSE 10
GEOGRAPHY,13,AGRICULTURE-IV : CASH CROPS (2),TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 GIVE REAOSNS + MCQ|DREAM 90 ALL REMAINING QUESTIONS|DREAK 90 LW|DREAM 90 TEST PAPER|PY QUESTIONS,ICSE 10
GEOGRAPHY,14,MANUFACTURING INDUSTRIES AGRO- BASED,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 GIVE REAOSNS + MCQ|DREAM 90 ALL REMAINING QUESTIONS|DREAK 90 LW|DREAM 90 TEST PAPER|PY QUESTIONS,ICSE 10
GEOGRAPHY,15,MINERAL BASED INDUSTRY,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 GIVE REAOSNS + MCQ|DREAM 90 ALL REMAINING QUESTIONS|DREAK 90 LW|DREAM 90 TEST PAPER|PY QUESTIONS,ICSE 10
GEOGRAPHY,16,TRANSPORT,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 GIVE REAOSNS + MCQ|DREAM 90 ALL REMAINING QUESTIONS|DREAK 90 LW|DREAM 90 TEST PAPER|PY QUESTIONS,ICSE 10
GEOGRAPHY,17,IMPACT OF WASTE ACCUMULATION,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 GIVE REAOSNS + MCQ|DREAM 90 ALL REMAINING QUESTIONS|DREAK 90 LW|DREAM 90 TEST PAPER|PY QUESTIONS,ICSE 10
GEOGRAPHY,18,NEED FOR WASTE MANAGEMENT,TEXTBOOK READING|TEXTUAL QUESTION|DREAM 90 GIVE REAOSNS + MCQ|DREAM 90 ALL REMAINING QUESTIONS|DREAK 90 LW|DREAM 90 TEST PAPER|PY QUESTIONS,ICSE 10
CS,1,STAKEHOLDERS IN COMMERCIAL ORGANISATIONS,Read textbook markings|Revision for weekly test|Revision for Class Prelim|Revision for School test,ICSE 10
CS,2,MARKETING AND SALES,Read textbook markings|Revision for weekly test|Revision for Class Prelim|Revision for School test,ICSE 10
CS,3,ADVERTISING AND SALES PROMOTION,Read textbook markings|Revision for weekly test|Revision for Class Prelim|Revision for School test,ICSE 10
CS,4,CONSUMER PROTECTION,Read textbook markings|Revision for weekly test|Revision for Class Prelim|Revision for School test,ICSE 10
CS,5,E-COMMERCE,Read textbook markings|Revision for weekly test|Revision for Class Prelim|Revision for School test,ICSE 10
CS,6,CAPITAL AND REVENUE EXPENDITURE&INCOME,Read textbook markings|Revision for weekly test|Revision for Class Prelim|Revision for School test,ICSE 10
CS,7,FINAL ACCOUNTS OF SOLE PROPRIETORSHIP,Solve Classwork questions|Solve Homework questions|Solve Extra questions|Revisit all the questions covered earlier,ICSE 10
CS,8,FUNDAMENTAL CONCEPTS OF COST,Read textbook markings|Revision for weekly test|Revision for Class Prelim|Revision for School test,ICSE 10
CS,9,BUDGETING,Read textbook markings|Revision for weekly test|Revision for Class Prelim|Revision for School test,ICSE 10
CS,10,SOURCES OF FINANCE,Read textbook markings|Revision for weekly test|Revision for Class Prelim|Revision for School test,ICSE 10
CS,11,RECRUITMENT SELECTION AND TRAINING,Read textbook markings|Revision for weekly test|Revision for Class Prelim|Revision for School test,ICSE 10
CS,12,"INDUSTRIAL RELATIONS, TRADE UNIONS AND SOCIAL SECURITY",Read textbook markings|Revision for weekly test|Revision for Class Prelim|Revision for School test,ICSE 10
CS,13,LOGISTICS AND INSURANCE,Read textbook markings|Revision for weekly test|Revision for Class Prelim|Revision for School test,ICSE 10
CS,14,BANKING,Read textbook markings|Revision for weekly test|Revision for Class Prelim|Revision for School test,ICSE 10
CS,15,STRIVING FOR BETTER ENVIRONMENT,Read textbook markings|Revision for weekly test|Revision for Class Prelim|Revision for School test,ICSE 10
ECONOMIC,1,FACTORS OF PRODUCTION,TEXTBOOK READING|Refer to the Notes Given during the lectures|Solve MCQ & Questions Given In Text Book|Study all the questions for the chapter|SOLVE WORKSHEET GIVEN IN CLASS|Revise the chapter and provide orals to Parents,ICSE 10
ECONOMIC,2,ELEMENTARY THEORY OF DEMAND,TEXTBOOK READING|Refer to the Notes Given during the lectures|Solve MCQ & Questions Given In Text Book|Study all the questions for the chapter|SOLVE WORKSHEET GIVEN IN CLASS|Revise the chapter and provide orals to Parents,ICSE 10
ECONOMIC,3,ELASTICITY OF DEMAND,TEXTBOOK READING|Refer to the Notes Given during the lectures|Solve MCQ & Questions Given In Text Book|Study all the questions for the chapter|SOLVE WORKSHEET GIVEN IN CLASS|Revise the chapter and provide orals to Parents,ICSE 10
ECONOMIC,4,THEORY OF SUPPLY,TEXTBOOK READING|Refer to the Notes Given during the lectures|Solve MCQ & Questions Given In Text Book|Study all the questions for the chapter|SOLVE WORKSHEET GIVEN IN CLASS|Revise the chapter and provide orals to Parents,ICSE 10
ECONOMIC,5,MEANING AND TYPES OF MARKET,TEXTBOOK READING|Refer to the Notes Given during the lectures|Solve MCQ & Questions Given In Text Book|Study all the questions for the chapter|SOLVE WORKSHEET GIVEN IN CLASS|Revise the chapter and provide orals to Parents,ICSE 10
ECONOMIC,6,MEANING AND FUNCTION OF MONEY,TEXTBOOK READING|Refer to the Notes Given during the lectures|Solve MCQ & Questions Given In Text Book|Study all the questions for the chapter|SOLVE WORKSHEET GIVEN IN CLASS|Revise the chapter and provide orals to Parents,ICSE 10
ECONOMIC,7,COMMERCIAL BANK,TEXTBOOK READING|Refer to the Notes Given during the lectures|Solve MCQ & Questions Given In Text Book|Study all the questions for the chapter|SOLVE WORKSHEET GIVEN IN CLASS|Revise the chapter and provide orals to Parents,ICSE 10
ECONOMIC,8,CENTRAL BANK,TEXTBOOK READING|Refer to the Notes Given during the lectures|Solve MCQ & Questions Given In Text Book|Study all the questions for the chapter|SOLVE WORKSHEET GIVEN IN CLASS|Revise the chapter and provide orals to Parents,ICSE 10
ECONOMIC,9,INTRODUCTION TO PUBLIC FINANCE,TEXTBOOK READING|Refer to the Notes Given during the lectures|Solve MCQ & Questions Given In Text Book|Study all the questions for the chapter|SOLVE WORKSHEET GIVEN IN CLASS|Revise the chapter and provide orals to Parents,ICSE 10
ECONOMIC,10,PUBLIC REVENUE,TEXTBOOK READING|Refer to the Notes Given during the lectures|Solve MCQ & Questions Given In Text Book|Study all the questions for the chapter|SOLVE WORKSHEET GIVEN IN CLASS|Revise the chapter and provide orals to Parents,ICSE 10
ECONOMIC,11,PUBLIC EXPENDITURE,TEXTBOOK READING|Refer to the Notes Given during the lectures|Solve MCQ & Questions Given In Text Book|Study all the questions for the chapter|SOLVE WORKSHEET GIVEN IN CLASS|Revise the chapter and provide orals to Parents,ICSE 10
ECONOMIC,12,PUBLIC DEBT,TEXTBOOK READING|Refer to the Notes Given during the lectures|Solve MCQ & Questions Given In Text Book|Study all the questions for the chapter|SOLVE WORKSHEET GIVEN IN CLASS|Revise the chapter and provide orals to Parents,ICSE 10
ECONOMIC,13,INFLATION,TEXTBOOK READING|Refer to the Notes Given during the lectures|Solve MCQ & Questions Given In Text Book|Study all the questions for the chapter|SOLVE WORKSHEET GIVEN IN CLASS|Revise the chapter and provide orals to Parents,ICSE 10
ECONOMIC,14,CONSUMER AWARENESS,TEXTBOOK READING|Refer to the Notes Given during the lectures|Solve MCQ & Questions Given In Text Book|Study all the questions for the chapter|SOLVE WORKSHEET GIVEN IN CLASS|Revise the chapter and provide orals to Parents,ICSE 10
