Subject,Chapter_Number,Chapter_Name,Tasks,Batch
CHEMISTRY,7 (A),HYDROGEN CHLORIDE,READ CLASS NOTES|PRACTISE ALL REACTIONS 3 TIMES|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ,ICSE 10
CHEMISTRY,7 (B),AMMONIA,READ CLASS NOTES|PRACTISE ALL REACTIONS 3 TIMES|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ,ICSE 10
CHEMISTRY,7 (C),NITRIC ACID,READ CLASS NOTES|PRACTISE ALL REACTIONS 3 TIMES|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ,ICSE 10
CHEMISTRY,7 (D),SULPHURIC ACID,READ CLASS NOTES|PRACTISE ALL REACTIONS 3 TIMES|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ,ICSE 10
CHEMISTRY,8,ORGANIC CHEMISTRY,MAKE LIST OF TRICIAL NAMES 3 TIMES|READ CLASS NOTES|PRACTISE ALL REACTIONS 3 TIMES|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ,ICSE 10
CHEMISTRY,9,PRACTICAL CHEMISTRY,WRITE  ALL TESTS THREE TIMES|READ CLASS NOTES|SOLVE BOOK BACK QUESTIONS|SOLVE DREAM 90 LWS|DREAM 90 MCQ AND AR|DREAM 90 PP SUBJECTIVE|DREAM 90 PP MCQ|READ ALL DREAM 90 SOLVED QUESTIONS,ICSE 10
MATHS,1,GOODS AND SERVICE TAX,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,2,BANKING,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,3,SHARES AND DIVIDENDS,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,4,LINEAR INEQUALITIES,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,5,QUADRATIC EQUATIONS,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,6,SOLVING PROBLEM QUADRATIC EQUATIONS,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,7,RATIO AND PROPORTION,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,8,REMAINDER AND FACTOR THEOREM (FACTORISATION  OF POLYNOMIAL),MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,9,MATRICES,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,10,ARITHMETIC  PROGRESSION,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
