name,batch,description,color,icon,is_active,created_at,updated_at
CA,ICSE 10,CA - ICSE 10 Curriculum,blue,book,True,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
CHEMISTRY,ICSE 10,CHEMISTRY - ICSE 10 Curriculum,blue,book,True,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
CS,ICSE 10,CS - ICSE 10 Curriculum,blue,book,True,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
ECONOMIC,ICSE 10,ECONOMIC - ICSE 10 Curriculum,blue,book,True,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
HINDI,ICSE 10,HINDI - ICSE 10 Curriculum,blue,book,True,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
PHYSICS,ICSE 10,PHYSICS - ICSE 10 Curriculum,blue,book,True,2026-05-06T17:46:59.218123,2026-05-06T17:46:59.218123
