id,subject_id,title,order_index,created_at,updated_at
d8325755-8963-4fd8-847d-3033c3005772,54bb9f5d-a6de-4801-9a72-2096b558e67c,BIOLOGY,1,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
ff4bdce1-1555-495b-9d0e-fb703b8d29b8,adf75f07-8e35-409b-a293-3ff8bd0208eb,CA,1,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
19692389-54e6-4076-ad70-33750c8a9ace,c14fa0b8-9d05-4d2c-8ea1-e226ebaae777,CHEMISTRY,1,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
4c51c020-5920-4156-aa6c-9bebaab6f31e,425b119d-4002-4600-95a3-897822c63f22,CS,1,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
d150823f-e8fa-41ad-8f34-48022437f88d,39159270-ba17-4dbf-888f-58b9482940ec,ECONOMICS,1,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
9d29b603-c76b-4774-a211-010ec0990c60,70784a9b-1f0b-4234-828f-3158368436f6,ENGLISH LANGUAGE,1,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
382c00f9-363c-4d54-97aa-748652426e22,51d8f006-0601-4b9a-888c-0e7c33ebb867,ENGLISH LITERATURE,1,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
e84614d7-5041-43f4-856b-f0677a8d91a3,8e9d8c44-fe11-4b86-b7ac-3c4f6309a3d4,GEOGRAPHY,1,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
e07faf47-3ecc-414e-9cc8-d53dd5f87ab2,d8cb536a-15b5-4e8a-bac9-2cb154162de6,HINDI,1,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
7670ee4f-f0b5-48ac-9ef6-89ee4ae4da17,132cc810-ced4-4303-a35a-3cb63907c134,HISTORY,1,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
fe5c70d0-877b-4b2a-a96c-e3a347af5809,03d19a3c-6be0-40f4-ac6d-61b72de12526,MATHS,1,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
7f83a35e-8f5e-43f1-bf35-6108287bcba8,c49b174d-3967-4747-bc86-e2711064fcc9,PHYSICS,1,2026-05-06T16:58:35.934668Z,2026-05-06T16:58:35.934668Z
